CNPJ_GESTOR,n_fundos,pl_total,nome_em_registro,CNPJ_LIMPO,DENOM_SOCIAL,DENOM_COMERC,MUN,UF,CONTROLE_ACIONARIO,DT_REG,SITE_ADMIN,nome,faixa_porte,share_pct
72027832000102,123,23684379389.79,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,SÃO PAULO,SP,PRIVADO,2004-12-02,www.bancodaycoval.com.br,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,F2 · 10 a 100 bi,0.17852239592898825
10957035000177,54,23127752700.08,ATMOS CAPITAL GESTÃO DE RECURSOS LTDA,10957035000177,ATMOS CAPITAL GESTÃO DE RECURSOS LTDA,--,RIO DE JANEIRO,RJ,PRIVADO,2009-08-10,www.atmoscapital.com.br,ATMOS CAPITAL GESTÃO DE RECURSOS LTDA,F2 · 10 a 100 bi,0.1743267896751935
13486793000142,49,23069366257.35,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13486793000142,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,SÃO PAULO,SP,PRIVADO,2011-06-30,www.brltrust.com.br,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,F2 · 10 a 100 bi,0.17388669844567942
34269803000168,9,23029234998.74,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,,,,,,,,,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,F2 · 10 a 100 bi,0.17358420673497024
47243769000102,29,22936185434.76,ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.,47243769000102,ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.,ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS,SÃO PAULO,SP,PRIVADO,2022-10-07,www.absoluteinvestimentos.com.br,ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS,F2 · 10 a 100 bi,0.17288284020015537
62073200000121,5,22514091451.93,BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,,,,,,,,,BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,F2 · 10 a 100 bi,0.16970128209884813
16492391000149,54,22194262842.91,PORTO SEGURO INVESTIMENTOS LTDA,16492391000149,PORTO SEGURO INVESTIMENTOS LTDA,PORTO ASSET,SÃO PAULO,SP,PRIVADO,2014-05-09,https://www.portoasset.com.br/,PORTO ASSET,F2 · 10 a 100 bi,0.16729055523836306
33552500000195,17,21709227141.18,CAPSTONE PARTNERS GESTÃO DE RECURSOS LTDA.,33552500000195,CAPSTONE PARTNERS GESTÃO DE RECURSOS LTDA.,CAPSTONE,RIO DE JANEIRO,RJ,PRIVADO,2019-12-20,www.capstonepartners.com.br,CAPSTONE,F2 · 10 a 100 bi,0.16363457024678393
48954141000170,31,21619038808.88,REAG PORTFÓLIO SOLUTIONS LTDA.,48954141000170,REAG PORTFÓLIO SOLUTIONS LTDA.,REAG PORTFÓLIO SOLUTIONS LTDA.,SÃO PAULO,SP,PRIVADO,2023-09-26,www.reag.com.br,REAG PORTFÓLIO SOLUTIONS LTDA.,F2 · 10 a 100 bi,0.1629547704132288
15675095000110,50,21228053547.329998,LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA,15675095000110,LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA,LIONS TRUST,SÃO PAULO,SP,PRIVADO,2012-07-20,www.lionstrust.com.br,LIONS TRUST,F2 · 10 a 100 bi,0.16000769611940466
